source,detail_url,title_text,address_text,description,omv_nummer,decision_status,decision_date,public_inquiry_start,public_inquiry_end,demolition_keywords,demolition_candidate
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/b3afa12a-7a88-4f6f-ac88-1255b103ac7e,Herentalsebaan 162/1 te 2100 Deurne (Antwerpen) - exploiteren van een garageherstelwerkplaats met bandenservice (OMV_2026074330) - AKTENAME VAN MELDING GEWEIGERD,Herentalsebaan 162/1 te 2100 Deurne (Antwerpen),exploiteren van een garageherstelwerkplaats met bandenservice (,OMV_2026074330,AKTENAME VAN MELDING GEWEIGERD,29/06/2026,,,,no
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/0a99929a-732e-4770-ba2f-3efc6b899a47,Frans Beirenslaan 27 en 31 te 2150 Borsbeek (Antwerpen) - doorvoeren van een wijziging van de categorieën van kleinhandelsactiviteiten in een handelsgeheel aan Frans Beirenslaan 27-31 in 2150 Borsbeek (OMV_2026002144) - GOEDGEKEURD,Frans Beirenslaan 27 en 31 te 2150 Borsbeek (Antwerpen),doorvoeren van een wijziging van de categorieën van kleinhandelsactiviteiten in een handelsgeheel aan Frans Beirenslaan 27-31 in 2150 Borsbeek (,OMV_2026002144,GOEDGEKEURD,26/06/2026,,,,no
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/b1a3bd6d-ab96-4d42-a5d0-80034dca9490,Antwerpsesteenweg 92 te 2660 Hoboken (Antwerpen) - doorvoeren van wijzigingen zonder vergunning (functiewijziging van detailhandel naar restaurant) en exploiteren van een pizzeria (OMV_2025157061) - GOEDGEKEURD,Antwerpsesteenweg 92 te 2660 Hoboken (Antwerpen),doorvoeren van wijzigingen zonder vergunning (functiewijziging van detailhandel naar restaurant) en exploiteren van een pizzeria (,OMV_2025157061,GOEDGEKEURD,26/06/2026,,,,no
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/0e1cee99-1def-465a-87a1-1e640b59b869,"Berchemstadionstraat 76-78, Roderveldlaan 1-5 te 2600 Berchem (Antwerpen) - exploiteren van het kantorencomplex 'De Veldekens' (OMV_2019059506) - GOEDGEKEURD","Berchemstadionstraat 76-78, Roderveldlaan 1-5 te 2600 Berchem (Antwerpen)",exploiteren van het kantorencomplex 'De Veldekens' (,OMV_2019059506,GOEDGEKEURD,26/06/2026,,,,no
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/5bbaa7f3-f546-40f6-b625-869caa502faf,"Ernest Van Dijckkaai 37 te 2000 Antwerpen - tijdelijk verplaatsen van het huidige ponton, het aanleggen van een nieuw ponton met brug en hekwerk (OMV_2025131571) - GOEDGEKEURD",Ernest Van Dijckkaai 37 te 2000 Antwerpen,"tijdelijk verplaatsen van het huidige ponton, het aanleggen van een nieuw ponton met brug en hekwerk (",OMV_2025131571,GOEDGEKEURD,26/06/2026,,,,no
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/da1b61e7-f00b-4a13-8556-b79862d4416e,Belgiëlei 30 te 2018 Antwerpen - vellen van een boom (OMV_2026051093) - GOEDGEKEURD,Belgiëlei 30 te 2018 Antwerpen,vellen van een boom (,OMV_2026051093,GOEDGEKEURD,26/06/2026,,,,no
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/6aa66f38-c577-4a85-9362-b9c97510ce94,Tangehoefstraat 5 te 2170 Merksem (Antwerpen) - isoleren van de voorgevel (OMV_2026039863) - GOEDGEKEURD,Tangehoefstraat 5 te 2170 Merksem (Antwerpen),isoleren van de voorgevel (,OMV_2026039863,GOEDGEKEURD,26/06/2026,,,,no
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/45d7a08b-d596-484c-a1fa-877243f7ea82,"Keesinglaan 2, 16-20A en Middelmolenlaan 175 te 2100 Deurne (Antwerpen) - plaatsen van zaak-gebonden publiciteit (OMV_2026052743) - GOEDGEKEURD","Keesinglaan 2, 16-20A en Middelmolenlaan 175 te 2100 Deurne (Antwerpen)",plaatsen van zaak-gebonden publiciteit (,OMV_2026052743,GOEDGEKEURD,26/06/2026,,,,no
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/1ac1c60c-86f0-4423-acb8-f0a593d22dcf,"Della Faillelaan 54A te 2020 Antwerpen - uitbreiden van een eengezinswoning, bouwen van een poolhouse en het plaatsen van een zwembad (OMV_2026029732) - GOEDGEKEURD",Della Faillelaan 54A te 2020 Antwerpen,"uitbreiden van een eengezinswoning, bouwen van een poolhouse en het plaatsen van een zwembad (",OMV_2026029732,GOEDGEKEURD,26/06/2026,,,,no
antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/2dedcb8d-3277-4d28-85be-95ff4823eef5,Michel De Braeystraat 44-54 te 2000 Antwerpen - plaatsen van zaakgebonden publiciteit (OMV_2026051494) - GOEDGEKEURD,Michel De Braeystraat 44-54 te 2000 Antwerpen,plaatsen van zaakgebonden publiciteit (,OMV_2026051494,GOEDGEKEURD,26/06/2026,,,,no
