source,detail_url,title_text,address_text,description,omv_nummer,decision_status,decision_date,public_inquiry_start,public_inquiry_end,demolition_keywords,demolition_candidate
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/7a1ad521-cc0f-41a9-95fb-304a92dd62b1,Diepestraat 43-43A te 2060 Antwerpen - verbouwen van een meergezinswoning met wijzigen van de dakvorm en vermeerderen van het aantal woongelegenheden van 2 naar 3 (OMV_2026048737),Diepestraat 43-43A te 2060 Antwerpen,verbouwen van een meergezinswoning met wijzigen van de dakvorm en vermeerderen van het aantal woongelegenheden van 2 naar 3 (,OMV_2026048737,,,02/07/2026,31/07/2026,,no
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/55335b75-db1b-4033-8b08-4822fc229b37,Van Arteveldestraat 54 te 2060 Antwerpen - verbouwen en uitbreiden van een meergezinswoning met 4 woongelegenheden (OMV_2026013326),Van Arteveldestraat 54 te 2060 Antwerpen,verbouwen en uitbreiden van een meergezinswoning met 4 woongelegenheden (,OMV_2026013326,,,02/07/2026,31/07/2026,,no
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/62d2d05c-d3be-440e-b8db-84065e755b6c,Adolf Greinerstraat 14 te 2660 Hoboken (Antwerpen) - bijstellen van de stedenbouwkundige voorwaarden van vergunning OMV_2025110596 voor het bouwen van een gebouw (loods/brandweerstelplaats) en stallen van brandweervoertuigen (OMV_2026055155),Adolf Greinerstraat 14 te 2660 Hoboken (Antwerpen),bijstellen van de stedenbouwkundige voorwaarden van vergunning,OMV_2025110596,,,02/07/2026,31/07/2026,,no
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/8640241a-e6c3-4f28-9070-9def04198f1b,Lange Koepoortstraat te 60 2000 Antwerpen - verbouwen van een woning met detailhandel op de gelijkvloerse verdieping (OMV_2026057354),Lange Koepoortstraat te 60 2000 Antwerpen,verbouwen van een woning met detailhandel op de gelijkvloerse verdieping (,OMV_2026057354,,,02/07/2026,31/07/2026,,no
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/81573cf9-708b-43ec-9978-70dce26272f0,Groenstraat 39-41 te 2140 Borgerhout (Antwerpen) - verbouwen en uitbreiden van een eengezinswoning (OMV_2026052506),Groenstraat 39-41 te 2140 Borgerhout (Antwerpen),verbouwen en uitbreiden van een eengezinswoning (,OMV_2026052506,,,02/07/2026,31/07/2026,,no
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/6de48bfc-7b2b-4204-8494-38d5ab794d31,11807G1754/00E000 - op- en overslagbedrijf van staal en andere bulk- en palletgoederen: hernieuwing en verandering (OMV_2025151055),11807G1754/00E000,op- en overslagbedrijf van staal en andere bulk- en palletgoederen: hernieuwing en verandering (,OMV_2025151055,,,02/07/2026,31/07/2026,,no
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/1c39d712-fc4b-4cc7-a25c-bdc15d7db9fa,"Autolei 113, Mariastraat 10 te 2160 Wommelgem en Boterlaarbaan 575 te 2100 Deurne (Antwerpen) - plaatsen van buitenunits ventilatie-installatie en exploiteren van een sportcentrum met feestzaal (OMV_2025141019)","Autolei 113, Mariastraat 10 te 2160 Wommelgem en Boterlaarbaan 575 te 2100 Deurne (Antwerpen)",plaatsen van buitenunits ventilatie-installatie en exploiteren van een sportcentrum met feestzaal (,OMV_2025141019,,,02/07/2026,31/07/2026,,no
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/bbcba398-b886-4bad-84f0-4b7eee18f0eb,"Indaver Hooge Maey en Moerstraat 99 te 2030 Antwerpen - Hernieuwing van de vergunning en nieuwe gebouwen en constructies, aanleggen van verhardingen. (OMV_2024113368)",Indaver Hooge Maey en Moerstraat 99 te 2030 Antwerpen,"Hernieuwing van de vergunning en nieuwe gebouwen en constructies, aanleggen van verhardingen. (",OMV_2024113368,,,02/07/2026,31/07/2026,,no
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/d6ee1f15-7b95-4e9c-8323-be1d5e506d19,"Zandvoort 338 te 2030 Antwerpen. en Zandvoort 332 te 2030 Antwerpen. - Slopen van magazijn, uitbreiden van parkeergebouw, bouwen kantoor, plaatsen van constructies en aanhorigheden; terminal voor voertuigen en niet-IMDG-goederen: verandering en hernieuwing. (OMV_2025024900)",Zandvoort 338 te 2030 Antwerpen. en Zandvoort 332 te 2030 Antwerpen.,"Slopen van magazijn, uitbreiden van parkeergebouw, bouwen kantoor, plaatsen van constructies en aanhorigheden; terminal voor voertuigen en niet-IMDG-goederen: verandering en hernieuwing. (",OMV_2025024900,,,02/07/2026,31/07/2026,slopen,yes
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/c21312d3-cddd-4a80-a72f-841f16fee54c,Kloosterstraat 114-116 te 2000 Antwerpen - slopen van 2 panden en bouwen van een gemengd gebouw met op het gelijkvloers een detailhandel en op de verdiepingen 6 woonentiteiten (OMV_2026062371),Kloosterstraat 114-116 te 2000 Antwerpen,slopen van 2 panden en bouwen van een gemengd gebouw met op het gelijkvloers een detailhandel en op de verdiepingen 6 woonentiteiten (,OMV_2026062371,,,01/07/2026,30/07/2026,slopen,yes
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/594da28f-69de-48d0-a6e3-7483ce902116,Genuastraat 3 2000 Antwerpen - omvormen van een kantoor naar een zelfstandige woongelegenheid (OMV_2026033254),Genuastraat 3 2000 Antwerpen,omvormen van een kantoor naar een zelfstandige woongelegenheid (,OMV_2026033254,,,01/07/2026,30/07/2026,,no
