source,detail_url,title_text,address_text,description,omv_nummer,decision_status,decision_date,public_inquiry_start,public_inquiry_end,demolition_keywords,demolition_candidate
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/d6ee1f15-7b95-4e9c-8323-be1d5e506d19,"Zandvoort 338 te 2030 Antwerpen. en Zandvoort 332 te 2030 Antwerpen. - Slopen van magazijn, uitbreiden van parkeergebouw, bouwen kantoor, plaatsen van constructies en aanhorigheden; terminal voor voertuigen en niet-IMDG-goederen: verandering en hernieuwing. (OMV_2025024900)",Zandvoort 338 te 2030 Antwerpen. en Zandvoort 332 te 2030 Antwerpen.,"Slopen van magazijn, uitbreiden van parkeergebouw, bouwen kantoor, plaatsen van constructies en aanhorigheden; terminal voor voertuigen en niet-IMDG-goederen: verandering en hernieuwing. (",OMV_2025024900,,,02/07/2026,31/07/2026,slopen,yes
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/c21312d3-cddd-4a80-a72f-841f16fee54c,Kloosterstraat 114-116 te 2000 Antwerpen - slopen van 2 panden en bouwen van een gemengd gebouw met op het gelijkvloers een detailhandel en op de verdiepingen 6 woonentiteiten (OMV_2026062371),Kloosterstraat 114-116 te 2000 Antwerpen,slopen van 2 panden en bouwen van een gemengd gebouw met op het gelijkvloers een detailhandel en op de verdiepingen 6 woonentiteiten (,OMV_2026062371,,,01/07/2026,30/07/2026,slopen,yes
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/c372907f-3d6f-47b6-8972-6998eec6b8b6,Hulgenrodestraat Zn te 2150 Borsbeek (Antwerpen) - slopen van een bestaande loods en bouwen van 4 eengezinswoningen (OMV_2026042873),Hulgenrodestraat Zn te 2150 Borsbeek (Antwerpen),slopen van een bestaande loods en bouwen van 4 eengezinswoningen (,OMV_2026042873,,,30/06/2026,29/07/2026,slopen,yes
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/3206ad79-0671-4dde-b0bd-890952ffdf44,"Graaf van Egmontstraat 2-8, Scheldestraat 38, Vlaamsekaai 1 te 2000 Antwerpen - slopen van de volledige, bestaande bebouwing en oprichten van een meergezinswoning met 10 wooneenheden en 2 commerciële ruimtes en exploiteren van warmtepompen en een bronbemaling in het kader van bouwkundige werken (OMV_2026021192)","Graaf van Egmontstraat 2-8, Scheldestraat 38, Vlaamsekaai 1 te 2000 Antwerpen","slopen van de volledige, bestaande bebouwing en oprichten van een meergezinswoning met 10 wooneenheden en 2 commerciële ruimtes en exploiteren van warmtepompen en een bronbemaling in het kader van bouwkundige werken (",OMV_2026021192,,,29/06/2026,28/07/2026,slopen,yes
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/b18e1747-6794-44b4-b68e-0dad9f188b90,"Van Diepenbeeckstraat 67, 71 te 2018 Antwerpen - herbouwen van een gargagewerkplaats met magazijn in binnengebied tot een synagoge na sloop, en het exploiteren van de technieken (OMV_2026010711)","Van Diepenbeeckstraat 67, 71 te 2018 Antwerpen","herbouwen van een gargagewerkplaats met magazijn in binnengebied tot een synagoge na sloop, en het exploiteren van de technieken (",OMV_2026010711,,,28/06/2026,27/07/2026,sloop,yes
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/c55a474a-7609-4100-ba22-4195a8621277,Verschansingstraat 36-38 te 2000 Antwerpen - slopen van de bestaande bebouwing en bouwen van een meergezinswoning met 7 wooneenheden met ondergrondse parkeergarage; exploiteren van een tijdelijke bemaling voor de uitvoering van dit nieuwbouwproject (OMV_2026028810),Verschansingstraat 36-38 te 2000 Antwerpen,slopen van de bestaande bebouwing en bouwen van een meergezinswoning met 7 wooneenheden met ondergrondse parkeergarage; exploiteren van een tijdelijke bemaling voor de uitvoering van dit nieuwbouwproject (,OMV_2026028810,,,27/06/2026,26/07/2026,slopen,yes
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/3a3651d6-eb39-4baf-ab5b-e5f81aa4a851,Welvaartstraat 72-74 te 2000 Antwerpen - oprichten van een meergezinswoning met 8 appartementen na sloop en exploiteren van een warmtepomp (OMV_2026047638),Welvaartstraat 72-74 te 2000 Antwerpen,oprichten van een meergezinswoning met 8 appartementen na sloop en exploiteren van een warmtepomp (,OMV_2026047638,,,27/06/2026,26/07/2026,sloop,yes
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/5d4aba44-c257-4f8d-8510-7a890868d675,"Verbondstraat 65-67A te 2000 Antwerpen - slopen van bestaande bebouwing, bouwen van een sportcomplex, woongelegenheden met ondergrondse parking en exploiteren van warmtepompen en een tijdelijke bronbemaling in functie van de werken (OMV_2024142206)",Verbondstraat 65-67A te 2000 Antwerpen,"slopen van bestaande bebouwing, bouwen van een sportcomplex, woongelegenheden met ondergrondse parking en exploiteren van warmtepompen en een tijdelijke bronbemaling in functie van de werken (",OMV_2024142206,,,22/06/2026,21/07/2026,slopen,yes
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/51722edc-9f6c-414f-a361-99126ac7f360,"Lamorinièrestraat 274, Mechelsesteenweg 267 te 2018 Antwerpen - oprichten van een nieuwbouw met 58 appartementen en een casco ruimte voor diensten na sloop; de aanleg van een verticale bodem warmtewisselaarsysteem (gesloten bron) bestaande uit 15 boringen ten behoeve van de klimatisatie van 58 wooneenheden en een collectief systeem gekoppeld aan 4 grote lucht-waterwarmtepompen (OMV_2026032518)","Lamorinièrestraat 274, Mechelsesteenweg 267 te 2018 Antwerpen",oprichten van een nieuwbouw met 58 appartementen en een casco ruimte voor diensten na sloop; de aanleg van een verticale bodem warmtewisselaarsysteem (gesloten bron) bestaande uit 15 boringen ten behoeve van de klimatisatie van 58 wooneenheden en een collectief systeem gekoppeld aan 4 grote lucht-waterwarmtepompen (,OMV_2026032518,,,11/06/2026,10/07/2026,sloop,yes
antwerpen.consultatieomgeving.net/openbare_onderzoeken,https://antwerpen.consultatieomgeving.net/burger/nl/OpenbareOnderzoeken/Details/83267669-1c47-46f8-9948-45797dd7de8c,"Belgiëlei 143 te 2018 Antwerpen - deels slopen en verbouwen van een pand met de functie bedrijvigheid naar de functie gemeenschapsvoorziening, exploiteren van een warmtepomp (OMV_2025062153)",Belgiëlei 143 te 2018 Antwerpen,"deels slopen en verbouwen van een pand met de functie bedrijvigheid naar de functie gemeenschapsvoorziening, exploiteren van een warmtepomp (",OMV_2025062153,,,09/06/2026,08/07/2026,slopen,yes
