address,street,huisnr1,huisnr2,busnr,postcode,district,source_row_count,aard_summary,oldest_opnamedatum,search_query,status,confidence,best_score,organization_name_candidate,kbo_numbers,generic_emails,social_links,source_urls,source_titles,notes
"Duinstraat 10-12, 2060 Antwerpen",DUINSTRAAT,10,12,,2060,Antwerpen,6,woning:4; gebouw:2,2014/10/23 00:00:00+00,"""Duinstraat 10"" ""2060"" ""Antwerpen""",geen_betrouwbare_digitale_match,middel,75,,,,,,,
"Gasstraat 104, 2060 Antwerpen",GASSTRAAT,104,,,2060,Antwerpen,7,woning:7,2019/06/28 00:00:00+00,"""Gasstraat 104"" ""2060"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Elsenstraat 13, 2170 Merksem",ELSENSTRAAT,13,,,2170,Merksem,1,woning:1,2024/05/21 00:00:00+00,"""Elsenstraat 13"" ""2170"" ""Merksem""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Laarbekestraat 17, 2170 Merksem",LAARBEKESTRAAT,17,,,2170,Merksem,1,woning:1,2020/01/13 00:00:00+00,"""Laarbekestraat 17"" ""2170"" ""Merksem""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Breydelstraat 10, 2018 Antwerpen",BREYDELSTRAAT,10,,,2018,Antwerpen,1,woning:1,2022/05/18 00:00:00+00,"""Breydelstraat 10"" ""2018"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Beatrijslaan 3, 2050 Antwerpen",BEATRIJSLAAN,3,,,2050,Antwerpen,1,woning:1,2025/01/09 00:00:00+00,"""Beatrijslaan 3"" ""2050"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Viséstraat 50-1, 2060 Antwerpen",VISÉSTRAAT,50,1,,2060,Antwerpen,1,woning:1,2025/07/22 00:00:00+00,"""Viséstraat 50"" ""2060"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Viséstraat 50-101, 2060 Antwerpen",VISÉSTRAAT,50,101,,2060,Antwerpen,1,woning:1,2025/07/22 00:00:00+00,"""Viséstraat 50"" ""2060"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,20,,,,,,,
"Limburgstraat 50, 2020 Antwerpen",LIMBURGSTRAAT,50,,,2020,Antwerpen,1,woning:1,2025/10/20 00:00:00+00,"""Limburgstraat 50"" ""2020"" ""Antwerpen""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
"Jan Moorkensstraat 6, 2600 Berchem",JAN MOORKENSSTRAAT,6,,,2600,Berchem,1,woning:1,2023/07/13 00:00:00+00,"""Jan Moorkensstraat 6"" ""2600"" ""Berchem""",geen_betrouwbare_digitale_match,geen,0,,,,,,,
