adres,pva_straat,pva_huisnr1,pva_huisnr2,pva_busnr,pnd_district_code,pnd_district,pva_postcode,samengevoegde_regels,unieke_pnd_ids_count,objectids,pnd_ids,reg_entiteiten,reg_aarden,reg_aard_telling,reg_statussen,reg_status_telling,eerste_opnamedatum,laatste_opnamedatum,alle_opnamedata,shape_lengths,shape_areas,verschillende_velden,bronregels_volledig
"Aalmoezenierstraat 34, 2000 Antwerpen",AALMOEZENIERSTRAAT,34,,,A,Antwerpen,2000,1,1,75659,37632,volledig pand,woning,woning:1,aanvraagschrapping,aanvraagschrapping:1,2024/10/24 00:00:00+00,2024/10/24 00:00:00+00,2024/10/24 00:00:00+00,63.043781340613,135.086986014069,,"75659,37632,AALMOEZENIERSTRAAT,34,,,A,Antwerpen,2000,volledig pand,woning,2024/10/24 00:00:00+00,aanvraagschrapping,63.043781340613,135.086986014069"
"Adriaan Brouwerstraat 3 bus 101, 2000 Antwerpen",ADRIAAN BROUWERSTRAAT,3,,101,A,Antwerpen,2000,1,1,75460,37661,1e verdieping,woning,woning:1,opname,opname:1,2025/05/26 00:00:00+00,2025/05/26 00:00:00+00,2025/05/26 00:00:00+00,38.7579307245705,78.5810549102413,,"75460,37661,ADRIAAN BROUWERSTRAAT,3,,101,A,Antwerpen,2000,1e verdieping,woning,2025/05/26 00:00:00+00,opname,38.7579307245705,78.5810549102413"
"Ambtmanstraat 5, 2000 Antwerpen",AMBTMANSTRAAT,5,,,A,Antwerpen,2000,1,1,75301,26017,nvt,woning,woning:1,opname,opname:1,2016/06/13 00:00:00+00,2016/06/13 00:00:00+00,2016/06/13 00:00:00+00,44.339500119556,107.265011948104,,"75301,26017,AMBTMANSTRAAT,5,,,A,Antwerpen,2000,nvt,woning,2016/06/13 00:00:00+00,opname,44.339500119556,107.265011948104"
"Amerikalei 100 bus 502, 2000 Antwerpen",AMERIKALEI,100,,502,A,Antwerpen,2000,1,1,75464,37755,5e verdipeing links,woning,woning:1,opname,opname:1,2025/02/19 00:00:00+00,2025/02/19 00:00:00+00,2025/02/19 00:00:00+00,95.6572944141141,465.013382721318,,"75464,37755,AMERIKALEI,100,,502,A,Antwerpen,2000,5e verdipeing links,woning,2025/02/19 00:00:00+00,opname,95.6572944141141,465.013382721318"
"Amerikalei 196 bus 801, 2000 Antwerpen",AMERIKALEI,196,,801,A,Antwerpen,2000,1,1,75517,39120,8ste verdieping,woning,woning:1,opname,opname:1,2024/05/21 00:00:00+00,2024/05/21 00:00:00+00,2024/05/21 00:00:00+00,74.4129390631644,274.859391430826,,"75517,39120,AMERIKALEI,196,,801,A,Antwerpen,2000,8ste verdieping,woning,2024/05/21 00:00:00+00,opname,74.4129390631644,274.859391430826"
"Amsterdamstraat 35, 2000 Antwerpen",AMSTERDAMSTRAAT,35,,,A,Antwerpen,2000,1,1,75164,22393,gelijkvloers,gebouw,gebouw:1,opname,opname:1,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,66.2383623766439,139.267182171665,,"75164,22393,AMSTERDAMSTRAAT,35,,,A,Antwerpen,2000,gelijkvloers,gebouw,2021/08/05 00:00:00+00,opname,66.2383623766439,139.267182171665"
"Amsterdamstraat 35 bus 101, 2000 Antwerpen",AMSTERDAMSTRAAT,35,,101,A,Antwerpen,2000,1,1,75165,22394,1ste verdieping,woning,woning:1,opname,opname:1,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,66.2383623766439,139.267182171665,,"75165,22394,AMSTERDAMSTRAAT,35,,101,A,Antwerpen,2000,1ste verdieping,woning,2021/08/05 00:00:00+00,opname,66.2383623766439,139.267182171665"
"Amsterdamstraat 35 bus 201, 2000 Antwerpen",AMSTERDAMSTRAAT,35,,201,A,Antwerpen,2000,1,1,75166,22395,2de verdieping,woning,woning:1,opname,opname:1,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,66.2383623766439,139.267182171665,,"75166,22395,AMSTERDAMSTRAAT,35,,201,A,Antwerpen,2000,2de verdieping,woning,2021/08/05 00:00:00+00,opname,66.2383623766439,139.267182171665"
"Amsterdamstraat 35 bus 301, 2000 Antwerpen",AMSTERDAMSTRAAT,35,,301,A,Antwerpen,2000,1,1,75167,22396,3de verdieping,woning,woning:1,opname,opname:1,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,66.2383623766439,139.267182171665,,"75167,22396,AMSTERDAMSTRAAT,35,,301,A,Antwerpen,2000,3de verdieping,woning,2021/08/05 00:00:00+00,opname,66.2383623766439,139.267182171665"
"Amsterdamstraat 35 bus 401, 2000 Antwerpen",AMSTERDAMSTRAAT,35,,401,A,Antwerpen,2000,1,1,75168,22397,4de verdieping,woning,woning:1,opname,opname:1,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,66.2383623766439,139.267182171665,,"75168,22397,AMSTERDAMSTRAAT,35,,401,A,Antwerpen,2000,4de verdieping,woning,2021/08/05 00:00:00+00,opname,66.2383623766439,139.267182171665"
"Ankerrui 44 bus 101, 2000 Antwerpen",ANKERRUI,44,,101,A,Antwerpen,2000,1,1,74916,38691,1e verdieping rechts,woning,woning:1,opname,opname:1,2025/01/17 00:00:00+00,2025/01/17 00:00:00+00,2025/01/17 00:00:00+00,71.5883454366275,297.851632492849,,"74916,38691,ANKERRUI,44,,101,A,Antwerpen,2000,1e verdieping rechts,woning,2025/01/17 00:00:00+00,opname,71.5883454366275,297.851632492849"
"August Michielsstraat 8, 2000 Antwerpen",AUGUST MICHIELSSTRAAT,8,,,A,Antwerpen,2000,1,1,75786,36031,volledig pand,gebouw,gebouw:1,opname,opname:1,2022/12/02 00:00:00+00,2022/12/02 00:00:00+00,2022/12/02 00:00:00+00,66.9082169384778,261.730690314544,,"75786,36031,AUGUST MICHIELSSTRAAT,8,,,A,Antwerpen,2000,volledig pand,gebouw,2022/12/02 00:00:00+00,opname,66.9082169384778,261.730690314544"
"Augustijnenstraat 27, 2000 Antwerpen",AUGUSTIJNENSTRAAT,27,,,A,Antwerpen,2000,1,1,75416,46909,volledig pand,woning,woning:1,opname,opname:1,2025/08/05 00:00:00+00,2025/08/05 00:00:00+00,2025/08/05 00:00:00+00,40.6757514049004,79.8673037989124,,"75416,46909,AUGUSTIJNENSTRAAT,27,,,A,Antwerpen,2000,volledig pand,woning,2025/08/05 00:00:00+00,opname,40.6757514049004,79.8673037989124"
"Begijnenstraat 44, 2000 Antwerpen",BEGIJNENSTRAAT,44,,,A,Antwerpen,2000,4,4,75585 | 75586 | 75587 | 75588,29316 | 30006 | 30007 | 30008,handelsgelijkvloers | 1ste verdiep | 2de verdiep | 3de verdiep,gebouw | woning,woning:3 | gebouw:1,opname,opname:4,2019/03/21 00:00:00+00,2019/03/21 00:00:00+00,2019/03/21 00:00:00+00,48.3225287819095,92.8614161299493,OBJECTID | pnd_id | reg_entiteit | reg_aard,"75585,29316,BEGIJNENSTRAAT,44,,,A,Antwerpen,2000,handelsgelijkvloers,gebouw,2019/03/21 00:00:00+00,opname,48.3225287819095,92.8614161299493 | 75586,30006,BEGIJNENSTRAAT,44,,,A,Antwerpen,2000,1ste verdiep,woning,2019/03/21 00:00:00+00,opname,48.3225287819095,92.8614161299493 | 75587,30007,BEGIJNENSTRAAT,44,,,A,Antwerpen,2000,2de verdiep,woning,2019/03/21 00:00:00+00,opname,48.3225287819095,92.8614161299493 | 75588,30008,BEGIJNENSTRAAT,44,,,A,Antwerpen,2000,3de verdiep,woning,2019/03/21 00:00:00+00,opname,48.3225287819095,92.8614161299493"
"Begijnenvest 53 bus 2, 2000 Antwerpen",BEGIJNENVEST,53,,2,A,Antwerpen,2000,1,1,75531,38063,Gelijkvloers rechts,woning,woning:1,aanvraagschrapping,aanvraagschrapping:1,2024/07/30 00:00:00+00,2024/07/30 00:00:00+00,2024/07/30 00:00:00+00,117.853801828836,706.451889393445,,"75531,38063,BEGIJNENVEST,53,,2,A,Antwerpen,2000,Gelijkvloers rechts,woning,2024/07/30 00:00:00+00,aanvraagschrapping,117.853801828836,706.451889393445"
"Bervoetstraat 6, 2000 Antwerpen",BERVOETSTRAAT,6,,,A,Antwerpen,2000,1,1,75212,38083,1E VERDIEPING,woning,woning:1,opname,opname:1,2025/07/29 00:00:00+00,2025/07/29 00:00:00+00,2025/07/29 00:00:00+00,41.6545076734328,89.6462216348432,,"75212,38083,BERVOETSTRAAT,6,,,A,Antwerpen,2000,1E VERDIEPING,woning,2025/07/29 00:00:00+00,opname,41.6545076734328,89.6462216348432"
"Bervoetstraat 8, 2000 Antwerpen",BERVOETSTRAAT,8,,,A,Antwerpen,2000,1,1,75350,38087,gelijkvloers,woning,woning:1,opname,opname:1,2025/01/23 00:00:00+00,2025/01/23 00:00:00+00,2025/01/23 00:00:00+00,37.1174640370866,67.4725441491362,,"75350,38087,BERVOETSTRAAT,8,,,A,Antwerpen,2000,gelijkvloers,woning,2025/01/23 00:00:00+00,opname,37.1174640370866,67.4725441491362"
"Bouwmeestersstraat 1, 2000 Antwerpen",BOUWMEESTERSSTRAAT,1,,,A,Antwerpen,2000,1,1,75377,30077,woning,woning,woning:1,opname,opname:1,2019/04/05 00:00:00+00,2019/04/05 00:00:00+00,2019/04/05 00:00:00+00,72.5340266129703,328.939877380637,,"75377,30077,BOUWMEESTERSSTRAAT,1,,,A,Antwerpen,2000,woning,woning,2019/04/05 00:00:00+00,opname,72.5340266129703,328.939877380637"
"Bouwmeestersstraat 5, 2000 Antwerpen",BOUWMEESTERSSTRAAT,5,,,A,Antwerpen,2000,1,1,75652,27775,nvt,woning,woning:1,aanvraagschrapping,aanvraagschrapping:1,2017/10/11 00:00:00+00,2017/10/11 00:00:00+00,2017/10/11 00:00:00+00,51.61554142597,114.880702598737,,"75652,27775,BOUWMEESTERSSTRAAT,5,,,A,Antwerpen,2000,nvt,woning,2017/10/11 00:00:00+00,aanvraagschrapping,51.61554142597,114.880702598737"
"Britselei 15, 2000 Antwerpen",BRITSELEI,15,,,A,Antwerpen,2000,2,2,75106 | 75107,30482 | 37448,4de verdieping | 1ste en 2de verdieping,gebouw,gebouw:2,opname,opname:2,2023/12/01 00:00:00+00,2023/12/01 00:00:00+00,2023/12/01 00:00:00+00,46.0465966395427,124.660999130016,OBJECTID | pnd_id | reg_entiteit,"75106,30482,BRITSELEI,15,,,A,Antwerpen,2000,4de verdieping,gebouw,2023/12/01 00:00:00+00,opname,46.0465966395427,124.660999130016 | 75107,37448,BRITSELEI,15,,,A,Antwerpen,2000,1ste en 2de verdieping,gebouw,2023/12/01 00:00:00+00,opname,46.0465966395427,124.660999130016"
"Britselei 44, 2000 Antwerpen",BRITSELEI,44,,,A,Antwerpen,2000,1,1,75768,31560,gezinswoning,woning,woning:1,opname,opname:1,2020/07/08 00:00:00+00,2020/07/08 00:00:00+00,2020/07/08 00:00:00+00,52.491933529223,134.778602764965,,"75768,31560,BRITSELEI,44,,,A,Antwerpen,2000,gezinswoning,woning,2020/07/08 00:00:00+00,opname,52.491933529223,134.778602764965"
