score_totaal,prioriteit,score_afstand,score_ouderdom,score_deduplicaties,score_area,score_length,opname_count,kennisgeving_count,leegstand_jaren_sinds_eerste_opname,score_uitleg,adres,pva_straat,pva_huisnr1,pva_huisnr2,pva_busnr,pnd_district_code,pnd_district,pva_postcode,busnummers,busnummer_count,samengevoegde_regels,unieke_pnd_ids_count,objectids,pnd_ids,reg_entiteiten,reg_aarden,reg_aard_telling,reg_statussen,reg_status_telling,eerste_opnamedatum,laatste_opnamedatum,alle_opnamedata,shape_lengths,shape_areas,verschillende_velden,bronregels_volledig,afstand_origin_adres,geocode_query,geocode_strategy,geocode_status,geocode_quality,geocode_formatted_address,geocode_location_type,lat_wgs84,lon_wgs84,x_lambert72,y_lambert72,afstand_hemelsbreed_km,afstand_bucket,geocode_error
80.5,A,83.5,100.0,31.5,100.0,100.0,1,0,9.3,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"Driekoningenstraat 86-88, 2600 Berchem",DRIEKONINGENSTRAAT,86,88,,R,Berchem,2600,,0,1,1,74928,27083,nvt,gebouw,gebouw:1,opname,opname:1,2017/03/14 00:00:00+00,2017/03/14 00:00:00+00,2017/03/14 00:00:00+00,274.341700027044,2711.80032823735,,"74928,27083,DRIEKONINGENSTRAAT,86,88,,R,Berchem,2600,nvt,gebouw,2017/03/14 00:00:00+00,opname,274.341700027044,2711.80032823735","Auwersstraat 66, 2600 Antwerpen","Driekoningenstraat 86, 2600 Antwerpen",eerste_huisnummer,gevonden,hoog,"Driekoningenstraat 86, 2600 Antwerpen",basisregisters_huisnummer_aangeduidDoorBeheerder,51.196278503785024,4.420977026925545,153650.26,209590.38,0.540,0-1 km,
80.3,A,71.9,82.8,73.2,100.0,97.4,4,0,5.2,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"Belgiëlei 7, 2018 Antwerpen",BELGIËLEI,7,,101,A,Antwerpen,2018,101 | 201 | 601 | 602,4,4,4,75251 | 75252 | 75253 | 75254,32166 | 32167 | 32887 | 32888,1E VERDIEPING LINKS | 2E VERDIEPING LINKS | 6e verdieping links | 6e verdieping rechts,woning,woning:4,opname,opname:4,2021/05/04 00:00:00+00,2022/06/22 00:00:00+00,2022/06/22 00:00:00+00 | 2021/05/04 00:00:00+00,131.606638006451,857.295562085754,OBJECTID | pnd_id | reg_entiteit | reg_opnamedatum,"75251,32166,BELGIËLEI,7,,101,A,Antwerpen,2018,1E VERDIEPING LINKS,woning,2022/06/22 00:00:00+00,opname,131.606638006451,857.295562085754 | 75252,32167,BELGIËLEI,7,,201,A,Antwerpen,2018,2E VERDIEPING LINKS,woning,2022/06/22 00:00:00+00,opname,131.606638006451,857.295562085754 | 75253,32887,BELGIËLEI,7,,601,A,Antwerpen,2018,6e verdieping links,woning,2021/05/04 00:00:00+00,opname,131.606638006451,857.295562085754 | 75254,32888,BELGIËLEI,7,,602,A,Antwerpen,2018,6e verdieping rechts,woning,2021/05/04 00:00:00+00,opname,131.606638006451,857.295562085754","Auwersstraat 66, 2600 Antwerpen","Belgiëlei 7, 2018 Antwerpen",volledig_huisnummer,gevonden,hoog,"Belgiëlei 7, 2018 Antwerpen",basisregisters_huisnummer_afgeleidVanObject,51.20857285752263,4.42267305780391,153767.81,210958.26,0.990,0-1 km,
80.1,A,59.3,100.0,88.6,82.3,85.1,6,0,11.1,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"Lange Kievitstraat 4, 2018 Antwerpen",LANGE KIEVITSTRAAT,4,,,A,Antwerpen,2018,,0,6,6,75146 | 75147 | 75148 | 75149 | 75150 | 75151,23312 | 23313 | 23314 | 23315 | 23316 | 23317,Appartement 1 | Appartement 2 | Appartement 3 | Appartement 4 | Appartement 5 | Appartement 6,woning,woning:6,opname,opname:6,2015/06/12 00:00:00+00,2015/06/12 00:00:00+00,2015/06/12 00:00:00+00,70.4747088924331,192.710318494827,OBJECTID | pnd_id | reg_entiteit,"75146,23312,LANGE KIEVITSTRAAT,4,,,A,Antwerpen,2018,Appartement 1,woning,2015/06/12 00:00:00+00,opname,70.4747088924331,192.710318494827 | 75147,23313,LANGE KIEVITSTRAAT,4,,,A,Antwerpen,2018,Appartement 2,woning,2015/06/12 00:00:00+00,opname,70.4747088924331,192.710318494827 | 75148,23314,LANGE KIEVITSTRAAT,4,,,A,Antwerpen,2018,Appartement 3,woning,2015/06/12 00:00:00+00,opname,70.4747088924331,192.710318494827 | 75149,23315,LANGE KIEVITSTRAAT,4,,,A,Antwerpen,2018,Appartement 4,woning,2015/06/12 00:00:00+00,opname,70.4747088924331,192.710318494827 | 75150,23316,LANGE KIEVITSTRAAT,4,,,A,Antwerpen,2018,Appartement 5,woning,2015/06/12 00:00:00+00,opname,70.4747088924331,192.710318494827 | 75151,23317,LANGE KIEVITSTRAAT,4,,,A,Antwerpen,2018,Appartement 6,woning,2015/06/12 00:00:00+00,opname,70.4747088924331,192.710318494827","Auwersstraat 66, 2600 Antwerpen","Lange Kievitstraat 4, 2018 Antwerpen",volledig_huisnummer,gevonden,hoog,"Lange Kievitstraat 4, 2018 Antwerpen",basisregisters_huisnummer_afgeleidVanObject,51.21291833227798,4.41730500112506,153392.35,211441.45,1.569,1-2 km,
80.0,A,68.5,100.0,63.1,94.4,88.4,3,0,11.9,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"Plantin En Moretuslei 159-161, 2140 Borgerhout",PLANTIN EN MORETUSLEI,159,161,,T,Borgerhout,2140,,0,3,3,75234 | 75235 | 75236,22411 | 22412 | 30026,Handelsgelijkvloers | Verdieping 1 | verdieping 2,gebouw | woning,woning:2 | gebouw:1,opname,opname:3,2014/08/25 00:00:00+00,2019/03/25 00:00:00+00,2014/08/25 00:00:00+00 | 2019/03/25 00:00:00+00,83.4340504113937,418.614305319596,OBJECTID | pnd_id | reg_entiteit | reg_aard | reg_opnamedatum,"75234,22411,PLANTIN EN MORETUSLEI,159,161,,T,Borgerhout,2140,Handelsgelijkvloers,gebouw,2014/08/25 00:00:00+00,opname,83.4340504113937,418.614305319596 | 75235,22412,PLANTIN EN MORETUSLEI,159,161,,T,Borgerhout,2140,Verdieping 1,woning,2014/08/25 00:00:00+00,opname,83.4340504113937,418.614305319596 | 75236,30026,PLANTIN EN MORETUSLEI,159,161,,T,Borgerhout,2140,verdieping 2,woning,2019/03/25 00:00:00+00,opname,83.4340504113937,418.614305319596","Auwersstraat 66, 2600 Antwerpen","Plantin En Moretuslei 159, 2140 Antwerpen",eerste_huisnummer,gevonden,hoog,"Plantin en Moretuslei 159, 2140 Antwerpen",basisregisters_huisnummer_afgeleidVanObject,51.209769873305916,4.430259691418614,154297.88,211091.85,1.133,1-2 km,
78.6,A,62.0,100.0,73.2,86.5,86.1,4,0,8.6,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"Bexstraat 1, 2018 Antwerpen",BEXSTRAAT,1,,,A,Antwerpen,2018,,0,4,4,75084 | 75085 | 75086 | 75087,27823 | 28061 | 28062 | 28063,kantoor gelijkvloers | 1ste verdiep | 2de verdiep | 3de verdiep,gebouw | woning,woning:3 | gebouw:1,opname,opname:4,2017/12/08 00:00:00+00,2017/12/08 00:00:00+00,2017/12/08 00:00:00+00,74.2869146170556,253.160451954744,OBJECTID | pnd_id | reg_entiteit | reg_aard,"75084,27823,BEXSTRAAT,1,,,A,Antwerpen,2018,kantoor gelijkvloers,gebouw,2017/12/08 00:00:00+00,opname,74.2869146170556,253.160451954744 | 75085,28061,BEXSTRAAT,1,,,A,Antwerpen,2018,1ste verdiep,woning,2017/12/08 00:00:00+00,opname,74.2869146170556,253.160451954744 | 75086,28062,BEXSTRAAT,1,,,A,Antwerpen,2018,2de verdiep,woning,2017/12/08 00:00:00+00,opname,74.2869146170556,253.160451954744 | 75087,28063,BEXSTRAAT,1,,,A,Antwerpen,2018,3de verdiep,woning,2017/12/08 00:00:00+00,opname,74.2869146170556,253.160451954744","Auwersstraat 66, 2600 Antwerpen","Bexstraat 1, 2018 Antwerpen",volledig_huisnummer,gevonden,hoog,"Bexstraat 1, 2018 Antwerpen",basisregisters_huisnummer_aangeduidDoorBeheerder,51.21025960161319,4.413840600605287,153150.45,211145.5,1.432,1-2 km,
77.2,A,88.7,100.0,31.5,73.8,74.9,1,0,8.5,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"Van Campenhoutstraat 51, 2600 Berchem",VAN CAMPENHOUTSTRAAT,51,,,R,Berchem,2600,,0,1,1,75282,28152,nvt,gebouw,gebouw:1,opname,opname:1,2017/12/20 00:00:00+00,2017/12/20 00:00:00+00,2017/12/20 00:00:00+00,41.8476422948845,111.618756116902,,"75282,28152,VAN CAMPENHOUTSTRAAT,51,,,R,Berchem,2600,nvt,gebouw,2017/12/20 00:00:00+00,opname,41.8476422948845,111.618756116902","Auwersstraat 66, 2600 Antwerpen","Van Campenhoutstraat 51, 2600 Antwerpen",volledig_huisnummer,gevonden,hoog,"Van Campenhoutstraat 51, 2600 Antwerpen",basisregisters_huisnummer_aangeduidDoorBeheerder,51.197507734438524,4.4226303473763515,153765.73,209727.22,0.361,0-1 km,
77.0,A,58.6,99.2,73.2,81.8,89.9,4,0,7.8,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"Lange Leemstraat 17, 2018 Antwerpen",LANGE LEEMSTRAAT,17,,,A,Antwerpen,2018,,0,4,4,75116 | 75117 | 75118 | 75119,28842 | 29126 | 29127 | 29128,handelsgelijkvloers | 1ste verdieping | 2de verdieping | 3de verdieping,gebouw | woning,woning:3 | gebouw:1,opname,opname:4,2018/08/29 00:00:00+00,2018/08/29 00:00:00+00,2018/08/29 00:00:00+00,89.8313624130894,186.920847788177,OBJECTID | pnd_id | reg_entiteit | reg_aard,"75116,28842,LANGE LEEMSTRAAT,17,,,A,Antwerpen,2018,handelsgelijkvloers,gebouw,2018/08/29 00:00:00+00,opname,89.8313624130894,186.920847788177 | 75117,29126,LANGE LEEMSTRAAT,17,,,A,Antwerpen,2018,1ste verdieping,woning,2018/08/29 00:00:00+00,opname,89.8313624130894,186.920847788177 | 75118,29127,LANGE LEEMSTRAAT,17,,,A,Antwerpen,2018,2de verdieping,woning,2018/08/29 00:00:00+00,opname,89.8313624130894,186.920847788177 | 75119,29128,LANGE LEEMSTRAAT,17,,,A,Antwerpen,2018,3de verdieping,woning,2018/08/29 00:00:00+00,opname,89.8313624130894,186.920847788177","Auwersstraat 66, 2600 Antwerpen","Lange Leemstraat 17, 2018 Antwerpen",volledig_huisnummer,gevonden,hoog,"Lange Leemstraat 17, 2018 Antwerpen",basisregisters_huisnummer_afgeleidVanObject,51.21025508485745,4.410026547789828,152883.92,211144.84,1.605,1-2 km,
76.2,A,89.3,100.0,31.5,65.3,72.0,1,0,9.2,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"Van Vaerenberghstraat 68, 2600 Berchem",VAN VAERENBERGHSTRAAT,68,,,R,Berchem,2600,,0,1,1,75733,27189,handelsgelijkvloers,gebouw,gebouw:1,opname,opname:1,2017/04/07 00:00:00+00,2017/04/07 00:00:00+00,2017/04/07 00:00:00+00,36.0871855695215,64.2657173710017,,"75733,27189,VAN VAERENBERGHSTRAAT,68,,,R,Berchem,2600,handelsgelijkvloers,gebouw,2017/04/07 00:00:00+00,opname,36.0871855695215,64.2657173710017","Auwersstraat 66, 2600 Antwerpen","Van Vaerenberghstraat 68, 2600 Antwerpen",volledig_huisnummer,gevonden,hoog,"Van Vaerenberghstraat 68, 2600 Antwerpen",basisregisters_huisnummer_afgeleidVanObject,51.198307582795515,4.430167583325357,154292.51,209816.62,0.339,0-1 km,
76.1,A,40.2,94.7,94.6,100.0,93.2,7,0,7.0,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"Gasstraat 104, 2060 Antwerpen",GASSTRAAT,104,,,A,Antwerpen,2060,,0,7,7,74845 | 74846 | 74847 | 74848 | 74849 | 74850 | 74851,30597 | 33965 | 33966 | 33967 | 33968 | 33969 | 33972,3de verdieping midden | 1ste verdieping links | 1ste verdieping midden | 1ste verdieping rechts | 2de verdieping links | 2de verdieping midden | 3de verdieping rechts,woning,woning:7,opname,opname:7,2019/06/28 00:00:00+00,2021/11/23 00:00:00+00,2019/06/28 00:00:00+00 | 2021/11/23 00:00:00+00,106.439989150763,605.404108539552,OBJECTID | pnd_id | reg_entiteit | reg_opnamedatum,"74845,30597,GASSTRAAT,104,,,A,Antwerpen,2060,3de verdieping midden,woning,2019/06/28 00:00:00+00,opname,106.439989150763,605.404108539552 | 74846,33965,GASSTRAAT,104,,,A,Antwerpen,2060,1ste verdieping links,woning,2021/11/23 00:00:00+00,opname,106.439989150763,605.404108539552 | 74847,33966,GASSTRAAT,104,,,A,Antwerpen,2060,1ste verdieping midden,woning,2021/11/23 00:00:00+00,opname,106.439989150763,605.404108539552 | 74848,33967,GASSTRAAT,104,,,A,Antwerpen,2060,1ste verdieping rechts,woning,2021/11/23 00:00:00+00,opname,106.439989150763,605.404108539552 | 74849,33968,GASSTRAAT,104,,,A,Antwerpen,2060,2de verdieping links,woning,2021/11/23 00:00:00+00,opname,106.439989150763,605.404108539552 | 74850,33969,GASSTRAAT,104,,,A,Antwerpen,2060,2de verdieping midden,woning,2021/11/23 00:00:00+00,opname,106.439989150763,605.404108539552 | 74851,33972,GASSTRAAT,104,,,A,Antwerpen,2060,3de verdieping rechts,woning,2021/11/23 00:00:00+00,opname,106.439989150763,605.404108539552","Auwersstraat 66, 2600 Antwerpen","Gasstraat 104, 2060 Antwerpen",volledig_huisnummer,gevonden,hoog,"Gasstraat 104, 2060 Antwerpen",basisregisters_huisnummer_afgeleidVanObject,51.22447867800913,4.42563973641857,153973.76,212728.01,2.731,2-5 km,
75.7,A,71.6,72.4,81.5,79.0,84.1,5,0,3.9,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"Lange Leemstraat 150, 2018 Antwerpen",LANGE LEEMSTRAAT,150,,,A,Antwerpen,2018,,0,5,5,75261 | 75262 | 75263 | 75264 | 75265,35627 | 35628 | 35629 | 35631 | 35632,gelijkvloers | 1ste verdieping | 2de verdieping | 3de verdieping | 4de verdieping,woning,woning:5,opname,opname:5,2022/08/03 00:00:00+00,2022/08/03 00:00:00+00,2022/08/03 00:00:00+00,67.0836873425359,155.608958551264,OBJECTID | pnd_id | reg_entiteit,"75261,35627,LANGE LEEMSTRAAT,150,,,A,Antwerpen,2018,gelijkvloers,woning,2022/08/03 00:00:00+00,opname,67.0836873425359,155.608958551264 | 75262,35628,LANGE LEEMSTRAAT,150,,,A,Antwerpen,2018,1ste verdieping,woning,2022/08/03 00:00:00+00,opname,67.0836873425359,155.608958551264 | 75263,35629,LANGE LEEMSTRAAT,150,,,A,Antwerpen,2018,2de verdieping,woning,2022/08/03 00:00:00+00,opname,67.0836873425359,155.608958551264 | 75264,35631,LANGE LEEMSTRAAT,150,,,A,Antwerpen,2018,3de verdieping,woning,2022/08/03 00:00:00+00,opname,67.0836873425359,155.608958551264 | 75265,35632,LANGE LEEMSTRAAT,150,,,A,Antwerpen,2018,4de verdieping,woning,2022/08/03 00:00:00+00,opname,67.0836873425359,155.608958551264","Auwersstraat 66, 2600 Antwerpen","Lange Leemstraat 150, 2018 Antwerpen",volledig_huisnummer,gevonden,hoog,"Lange Leemstraat 150, 2018 Antwerpen",basisregisters_huisnummer_afgeleidVanObject,51.20633144075196,4.415973193650668,153299.76,210708.57,1.002,1-2 km,
