OBJECTID,pnd_id,pva_straat,pva_huisnr1,pva_huisnr2,pva_busnr,pnd_district_code,pnd_district,pva_postcode,reg_entiteit,reg_aard,reg_opnamedatum,reg_status,SHAPE_Length,SHAPE_Area
74843,22620,DUINSTRAAT,10,12,,A,Antwerpen,2060,Handelsgelijkvloers,gebouw,2014/10/23 00:00:00+00,opname,37.42607354086,77.245516313054
74844,28585,DUINSTRAAT,10,12,,A,Antwerpen,2060,woning 1,woning,2018/04/20 00:00:00+00,opname,37.42607354086,77.245516313054
74845,30597,GASSTRAAT,104,,,A,Antwerpen,2060,3de verdieping midden,woning,2019/06/28 00:00:00+00,opname,106.439989150763,605.404108539552
74846,33965,GASSTRAAT,104,,,A,Antwerpen,2060,1ste verdieping links,woning,2021/11/23 00:00:00+00,opname,106.439989150763,605.404108539552
74847,33966,GASSTRAAT,104,,,A,Antwerpen,2060,1ste verdieping midden,woning,2021/11/23 00:00:00+00,opname,106.439989150763,605.404108539552
74848,33967,GASSTRAAT,104,,,A,Antwerpen,2060,1ste verdieping rechts,woning,2021/11/23 00:00:00+00,opname,106.439989150763,605.404108539552
74849,33968,GASSTRAAT,104,,,A,Antwerpen,2060,2de verdieping links,woning,2021/11/23 00:00:00+00,opname,106.439989150763,605.404108539552
74850,33969,GASSTRAAT,104,,,A,Antwerpen,2060,2de verdieping midden,woning,2021/11/23 00:00:00+00,opname,106.439989150763,605.404108539552
74851,33972,GASSTRAAT,104,,,A,Antwerpen,2060,3de verdieping rechts,woning,2021/11/23 00:00:00+00,opname,106.439989150763,605.404108539552
74852,39122,ELSENSTRAAT,13,,,M,Merksem,2170,volledig pand,woning,2024/05/21 00:00:00+00,opname,54.9049576506349,130.993772381139
74853,31472,LAARBEKESTRAAT,17,,,M,Merksem,2170,1ste verdiep rechts,woning,2020/01/13 00:00:00+00,opname,79.3023402617529,337.252498040939
74854,35300,BREYDELSTRAAT,10,,,A,Antwerpen,2018,volledig pand,woning,2022/05/18 00:00:00+00,opname,39.9782607911512,75.5532128415018
74855,40805,BEATRIJSLAAN,3,,,A,Antwerpen,2050,1ste verdieping,woning,2025/01/09 00:00:00+00,opname,100.255234472088,628.159321173906
74856,46845,VISÉSTRAAT,50,1,,A,Antwerpen,2060,gelijkvloers,woning,2025/07/22 00:00:00+00,opname,53.6091778344925,110.29834531646
74857,46846,VISÉSTRAAT,50,101,,A,Antwerpen,2060,1ste verdieping,woning,2025/07/22 00:00:00+00,opname,53.6091778344925,110.29834531646
74858,49679,LIMBURGSTRAAT,50,,,A,Antwerpen,2020,volledig pand,woning,2025/10/20 00:00:00+00,opname,49.4287194746349,115.977636801984
74859,36600,JAN MOORKENSSTRAAT,6,,,R,Berchem,2600,volledig pand,woning,2023/07/13 00:00:00+00,opname,94.6200486315811,239.024136780046
74860,36907,TRAPSTRAAT,42,,,A,Antwerpen,2060,gelijkvloers,woning,2023/10/03 00:00:00+00,aanvraagschrapping,34.892017984955,62.677346592199
74861,36908,TRAPSTRAAT,42,,,A,Antwerpen,2060,1ste verdieping,woning,2023/10/03 00:00:00+00,aanvraagschrapping,34.892017984955,62.677346592199
74862,36909,TRAPSTRAAT,42,,,A,Antwerpen,2060,2de verdieping,woning,2023/10/03 00:00:00+00,opname,34.892017984955,62.677346592199
74863,36910,TRAPSTRAAT,42,,,A,Antwerpen,2060,3de verdieping,woning,2023/10/03 00:00:00+00,aanvraagschrapping,34.892017984955,62.677346592199
74864,36012,SNEEUWBESLAAN,7,,,W,Wilrijk,2610,gelijkvloers,woning,2022/11/24 00:00:00+00,opname,76.4589247047794,271.136099947434
74865,36013,SNEEUWBESLAAN,7,,,W,Wilrijk,2610,1ste verdieping,woning,2022/11/24 00:00:00+00,opname,76.4589247047794,271.136099947434
74866,36014,SNEEUWBESLAAN,7,,,W,Wilrijk,2610,2de verdieping,woning,2022/11/24 00:00:00+00,opname,76.4589247047794,271.136099947434
74867,36015,SNEEUWBESLAAN,7,,,W,Wilrijk,2610,3de verdieping,woning,2022/11/24 00:00:00+00,opname,76.4589247047794,271.136099947434
74868,36016,SNEEUWBESLAAN,7,,,W,Wilrijk,2610,4de verdieping,woning,2022/11/24 00:00:00+00,opname,76.4589247047794,271.136099947434
74869,22061,PIERENBERGSTRAAT,17,,,A,Antwerpen,2020,Handelsgelijkvloers,gebouw,2014/06/23 00:00:00+00,opname,51.7199502370076,101.621978638302
74870,23320,BEEKSTRAAT,24,,,T,Borgerhout,2140,nvt,woning,2015/06/12 00:00:00+00,opname,45.2671999284013,81.8823407488766
74871,35805,LANGE BEELDEKENSSTRAAT,164,,,A,Antwerpen,2060,gelijkvloers,gebouw,2022/09/13 00:00:00+00,opname,43.5153911801714,65.0258766286701
74872,31721,LEYSSTRAAT,20,26,,A,Antwerpen,2000,2de verdiep (2.1),woning,2020/02/19 00:00:00+00,opname,96.3719889714651,553.940909664578
74873,31722,LEYSSTRAAT,20,26,,A,Antwerpen,2000,2de verdiep (2.2),woning,2020/02/19 00:00:00+00,opname,96.3719889714651,553.940909664578
74874,31723,LEYSSTRAAT,20,26,,A,Antwerpen,2000,3de verdiep (3.1),woning,2020/02/19 00:00:00+00,opname,96.3719889714651,553.940909664578
74875,31724,LEYSSTRAAT,20,26,,A,Antwerpen,2000,3de verdiep (3.2),woning,2020/02/19 00:00:00+00,opname,96.3719889714651,553.940909664578
74876,31725,LEYSSTRAAT,20,26,,A,Antwerpen,2000,4de verdiep,woning,2020/02/19 00:00:00+00,opname,96.3719889714651,553.940909664578
74877,21850,LANGE NOORDSTRAAT,33,,,A,Antwerpen,2000,nvt,gebouw,2014/05/22 00:00:00+00,opname,46.6658478342125,114.376648316576
74878,34770,TERLOSTRAAT,8,,,T,Borgerhout,2140,volledig pand,woning,2022/02/02 00:00:00+00,opname,60.5267235811856,126.301496870102
